Tanggal,Waktu,Pengirim,Pesan,Is_System_Message,Cluster_3,Cluster_4,Cluster_5
,,,03/10/24 14.31 - pesan dan panggilan dienkripsi secara end-to-end. tidak seorang pun di luar chat ini,True,1,3,4
,,,"03/10/24 14.31 - â€žatha membuat grup ""apsih""",True,1,3,3
,,,03/10/24 14.31 - â€žatha menambahkan anda,True,1,3,3
03/10/24,15.53,Atha,@6283863404275 intro dulu bang,False,1,3,3
,,,03/10/24 15.52 - â€žatha menambahkan bayu,True,1,3,3
03/10/24,15.54,Bayu,<media tidak disertakan>,False,1,1,1
,,,03/10/24 15.55 - â€žatha mengeluarkan bayu,True,1,3,3
,,,03/10/24 15.55 - â€žatha menambahkan bayu,True,1,3,3
03/10/24,15.56,Atha,@6283863404275 intro dulu bang,False,1,3,3
03/10/24,15.57,Bayu,<media tidak disertakan>,False,1,1,1
03/10/24,15.58,duta,<media tidak disertakan>,False,1,1,1
03/10/24,15.58,Bayu,<media tidak disertakan>,False,1,1,1
03/10/24,15.59,Atha,<media tidak disertakan>,False,1,1,1
03/10/24,16.05,duta,<media tidak disertakan>,False,1,1,1
03/10/24,16.59,Alex,<media tidak disertakan>,False,1,1,1
03/10/24,17.39,Atha,info gartic phone,False,1,3,3
03/10/24,17.39,Alex,manut,False,1,3,3
03/10/24,17.44,Atha,nanti maleman,False,1,3,3
03/10/24,20.03,Zaki,info,False,1,3,3
03/10/24,20.13,Alex,sido ra ki selak micek,False,1,3,3
03/10/24,20.13,Atha,lha lain e,False,1,3,3
03/10/24,20.13,Atha,@6281338245602 @6281336530958 @6281288360400,False,1,3,3
03/10/24,20.13,Zaki,sek tuku barang delo,False,1,3,3
03/10/24,20.17,Alex,gage,False,1,3,3
03/10/24,20.17,Alex,<media tidak disertakan>,False,1,1,1
03/10/24,20.2,Zaki,gas,False,1,3,3
03/10/24,20.2,Zaki,room e le ndi,False,1,3,3
03/10/24,20.2,Atha,duta diki ndi?,False,1,3,3
03/10/24,20.2,Zaki,duta turu ketoe,False,1,3,3
03/10/24,20.21,Zaki,mau sambat rapenak awake,False,1,3,3
03/10/24,20.21,Alex,sopo neh ki seng main,False,1,3,3
03/10/24,20.21,Atha,diki,False,1,3,3
03/10/24,20.21,Alex,@6281336530958 inpo inpo,False,1,3,3
03/10/24,20.22,Atha,sg mancing,False,1,3,3
03/10/24,20.22,Alex,wong 3 tok ki?,False,1,3,3
03/10/24,20.23,Zaki,wes mlebu aku,False,1,3,3
03/10/24,20.23,Zaki,lagi enek kancane,False,1,3,3
03/10/24,20.23,Alex,<media tidak disertakan>,False,1,1,1
03/10/24,20.24,Atha,yusra jak en lek,False,1,3,3
03/10/24,20.25,Alex,oke,False,1,3,3
03/10/24,20.26,Zaki,@6281288360400 info,False,1,3,3
03/10/24,20.28,Alex,sena jaken cah,False,1,3,3
03/10/24,20.44,Atha,ono @6285865218530,False,1,3,3
03/10/24,20.48,Avicena,opo iki,False,1,3,3
03/10/24,20.48,Atha,gambar,False,1,3,3
03/10/24,20.48,Atha,discord,False,1,3,3
03/10/24,20.48,Avicena,skip,False,1,3,3
03/10/24,20.49,Alex,ayo,False,1,3,3
03/10/24,20.49,Zaki,kudu join cen,False,1,3,3
03/10/24,20.49,Zaki,wajib,False,1,3,3
03/10/24,20.49,Avicena,lagi diluar,False,1,3,3
03/10/24,20.5,Atha,mlebuno,False,1,3,3
03/10/24,20.52,Zaki,nyusul no,False,1,3,3
10/10/24,11.5,Atha,<media tidak disertakan>,False,1,1,1
10/10/24,11.51,Alex,bjir mulai e durung oghðÿ—¿,False,1,3,3
10/10/24,11.51,Atha,yo podo lah wong kita sekelompok,False,1,3,3
10/10/24,11.52,Alex,<media tidak disertakan>,False,1,1,1
10/10/24,12.08,Bayu,jano sek tugas kelompok kon gawe opo,False,1,3,3
10/10/24,12.1,Alex,<media tidak disertakan>,False,1,1,1
10/10/24,12.1,Atha,nggawe koe bahagia yuðÿ˜”,False,1,3,3
10/10/24,12.41,Bayu,sistem akademik wae gak sih,False,1,3,3
10/10/24,12.41,Alex,boleh malah penak golek contone spada mbi ol aowkwowk,False,1,3,3
11/10/24,0.17,duta,kerkom kah?,False,1,3,3
11/10/24,0.18,duta,dl minggu bjirr,False,1,3,3
11/10/24,8.32,Bayu,pesan ini dihapus,False,1,3,4
11/10/24,9.42,Atha,bolehhh,False,1,3,3
11/10/24,9.42,Atha,penting ono jawaban e sek ae,False,1,3,3
11/10/24,9.43,Alex,eh cah wi ngko hasil e bentuk ppt to?,False,1,3,3
11/10/24,9.44,Atha,yen sg dl minggu tulis tangan,False,1,3,3
11/10/24,9.45,Alex,topik e meh iki sidane?,False,1,3,3
11/10/24,9.55,Atha,manut,False,1,3,3
11/10/24,9.59,Bayu,intine sek dl minggu wi kon ngooo wae,False,1,3,3
11/10/24,10.0,Alex,iki mak kon nulis progres,False,1,3,3
11/10/24,10.01,Alex,sek ngko jijal tak gaene sak mampu ku sek,False,1,3,3
11/10/24,10.03,Atha,ngoooo,False,1,3,3
11/10/24,10.03,Atha,koe mampu garap kabeh sih lek,False,1,3,3
